kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
7468295,K05394.01,,FALSE POSITIVE,456.5734,0.1768,5.465,397.5,7.88,413.0,6.88,7.6,1,,5002.0,3.216,-0.36,4.042,0.979,297.68704,43.060162,13.731
7516073,K05395.01,,FALSE POSITIVE,601.13797,0.057,15.26,172.8,1.81,254.0,0.99,9.9,1,5.0,5786.0,4.155,0.02,1.388,1.003,287.96262,43.132195,13.17
7538450,K05396.01,,FALSE POSITIVE,344.06248,0.935,15.6,136.3,5.26,589.0,28.42,17.7,1,3.0,7664.0,3.611,-0.12,3.697,2.039,294.80457,43.138699,11.566
7539174,K05397.01,,FALSE POSITIVE,39.94344731,,1.71,,,,,,2,,,,,,,295.00153,43.171341,12.218
7539277,K05398.01,,CANDIDATE,551.22396,0.2134,5.896,570.7,2.1,206.0,0.42,17.2,1,,5691.0,4.544,0.07,0.887,1.003,295.02985,43.129421,14.465
7550875,K05399.01,,FALSE POSITIVE,466.90824,0.0868,2.64,660.0,2.19,210.0,0.46,5.4,1,,5340.0,4.456,-0.16,0.867,0.783,297.65436,43.178551,15.202
8442463,K05519.01,,FALSE POSITIVE,361.30991,0.0802,12.968,275.6,7.07,422.0,7.5,10.6,1,,4911.0,3.354,0.3,4.419,1.608,295.94467,44.445938,13.851
8474892,K05520.01,,FALSE POSITIVE,199.4424134,1.1877,7.2533,32171.9,56.11,344.0,3.32,486.4,1,,5869.0,4.288,-0.08,1.17,0.971,281.76312,44.57719,14.372
8480642,K05521.01,,FALSE POSITIVE,31.59115876,1.247,2.6431,1434.4,72.91,783.0,88.84,83.5,1,41.0,5178.0,3.714,-0.3,2.295,0.995,285.0004,44.544991,13.687
8482513,K05522.01,,FALSE POSITIVE,356.99135,0.2437,17.03,747.8,2.47,240.0,0.78,13.8,1,,5539.0,4.467,-0.02,0.913,0.892,286.11569,44.592941,15.684
8487777,K05523.01,,FALSE POSITIVE,96.120478,0.5381,1.125,285.4,2.08,460.0,10.62,6.0,1,,6038.0,4.245,-0.42,1.186,0.902,288.92505,44.53577,13.917
8495232,K05524.01,,FALSE POSITIVE,9.63647672,0.046,2.999,47.6,2.02,1243.0,565.04,11.1,1,139.0,5125.0,3.631,0.1,3.007,1.411,291.80365,44.534592,12.162
8499922,K05525.01,,FALSE POSITIVE,45.680876,0.206,2.293,350.3,14.5,1215.0,514.91,3.7,1,,4835.0,2.608,-0.52,7.917,0.927,293.66245,44.527512,13.409
8505674,K05526.01,,FALSE POSITIVE,43.169798,0.5639,9.686,120.8,1.47,615.0,33.77,6.9,1,,5929.0,4.176,-0.32,1.292,0.914,295.5806,44.568977,13.158
11444772,K05897.01,,CANDIDATE,395.94327,0.1116,16.09,1506.0,2.53,172.0,0.21,14.5,1,,4596.0,4.63,-0.04,0.678,0.714,285.70541,49.342628,15.921
11444974,K05898.01,,CANDIDATE,76.37924,0.7333,0.645,276.3,1.73,406.0,6.41,5.7,1,,5451.0,4.404,-0.14,0.936,0.81,285.82983,49.39431,13.717
11446961,K05899.01,,CANDIDATE,58.669218,0.332,3.712,169.4,1.28,450.0,9.68,10.0,1,19.0,5548.0,4.433,0.2,0.986,0.961,287.15372,49.33197,13.899
11453930,K05900.01,,CANDIDATE,355.84731,0.1578,16.68,123.9,1.68,354.0,3.71,9.8,2,,6823.0,4.212,-0.14,1.493,1.332,291.14532,49.365318,13.127
11456256,K05901.01,,CANDIDATE,61.611129,0.364,14.96,82.9,1.29,597.0,30.02,22.0,1,24.0,6533.0,4.227,-0.24,1.386,1.184,292.43137,49.368561,12.332
11457664,K05902.01,,CANDIDATE,150.728285,0.2751,2.718,213.5,1.27,321.0,2.51,5.6,1,,5778.0,4.544,-0.1,0.871,0.967,293.16309,49.383331,14.396
11465658,K05903.01,,CANDIDATE,253.790434,0.1412,3.702,604.0,2.06,253.0,0.97,6.4,1,,5426.0,4.535,0.04,0.85,0.902,296.63181,49.363312,15.327
11465869,K05904.01,,FALSE POSITIVE,322.544807,0.0183,11.236,88.0,0.68,219.0,0.55,12.1,1,,5359.0,4.611,-0.28,0.741,0.823,296.71918,49.35994,11.697
11493378,K05905.01,,CANDIDATE,35.6606167,,1.59,,,,,,1,,,,,,,283.46997,49.416962,13.951
11506938,K05906.01,,FALSE POSITIVE,22.57494749,1.271,36.756,1344.1,49.49,860.0,129.25,302.6,1,62.0,6581.0,4.192,-0.22,1.468,1.23,291.64651,49.493408,11.612
11513366,K05907.01,,CANDIDATE,587.38162,0.6822,11.973,863.6,36.77,527.0,18.29,12.8,1,,4784.0,2.711,0.36,11.839,2.629,294.72955,49.428478,13.715
11513441,K05908.01,,FALSE POSITIVE,85.5692223,0.98,4.954,539.2,6.85,536.0,19.51,18.2,1,16.0,5361.0,3.856,-0.2,1.951,0.997,294.7627,49.430069,13.982
11520114,K05909.01,,CANDIDATE,7.07987663,0.034,2.589,309.8,1.36,738.0,70.05,10.0,1,161.0,4808.0,4.521,0.28,0.806,0.785,297.39496,49.48494,15.975
11520465,K05910.01,,CANDIDATE,91.240335,0.1436,2.314,206.1,1.75,494.0,14.03,5.7,1,,6493.0,4.305,-0.3,1.205,1.065,297.52707,49.404499,13.89
11559493,K05911.01,,CANDIDATE,357.41382,0.1438,3.675,777.0,3.01,283.0,1.52,6.7,1,,6233.0,4.412,-0.08,1.076,1.086,292.07788,49.52961,15.388
11598638,K05912.01,,CANDIDATE,359.854745,0.8071,3.429,302.4,2.25,302.0,1.97,6.1,1,,6495.0,4.379,-0.1,1.168,1.19,284.55368,49.6847,13.728
11598894,K05913.01,,CANDIDATE,89.366114,0.39,3.945,494.0,1.97,391.0,5.54,6.3,1,,5861.0,4.522,-0.26,0.875,0.929,284.74847,49.606258,15.409
