kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,planet,planet_label
12470844,K00790.02,Kepler-233 c,CONFIRMED,60.4189369,0.094,5.039,931.3,2.36,390.0,5.49,20.1,2,22.0,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,1,confirmed
12644822,K00791.01,Kepler-682 b,CONFIRMED,12.611904345,0.55,5.1497,6105.6,7.4,753.0,76.15,277.2,1,104.0,5795.0,4.508,-0.02,0.919,0.992,289.11221,51.737381,15.14,1,confirmed
2713049,K00794.01,Kepler-683 b,CONFIRMED,2.539183147,0.238,2.4282,382.1,2.06,1332.0,743.09,38.9,1,528.0,5519.0,4.35,0.14,1.062,0.921,291.43997,37.905659,15.026,1,confirmed
3114167,K00795.01,Kepler-684 b,CONFIRMED,6.770300385,0.838,2.0844,1304.0,2.77,812.0,102.87,50.8,1,200.0,5653.0,4.656,-0.84,0.679,0.767,290.87051,38.273628,15.591,1,confirmed
3115833,K00797.01,,CANDIDATE,10.181584004,0.92,3.5089,5741.1,7.73,812.0,102.91,183.6,1,129.0,5988.0,4.541,-0.52,0.836,0.885,291.28195,38.241669,15.657,0,candidate
4139816,K00812.02,Kepler-235 d,CONFIRMED,20.06036336,0.556,3.3203,1494.7,1.96,361.0,4.0,35.2,4,59.0,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,1,confirmed
4139816,K00812.03,Kepler-235 e,CONFIRMED,46.1842039,0.013,4.758,1394.7,1.83,273.0,1.32,26.0,4,25.0,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,1,confirmed
8395660,K00116.04,Kepler-106 d,CONFIRMED,23.9800854,0.95,5.351,104.0,1.31,649.0,41.94,17.1,4,56.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,1,confirmed
4139816,K00812.04,Kepler-235 c,CONFIRMED,7.82502168,0.708,2.186,520.8,1.2,494.0,14.05,15.9,4,154.0,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954,1,confirmed
4275191,K00813.01,Kepler-688 b,CONFIRMED,3.895936525,0.524,2.3111,8544.8,7.34,1005.0,241.62,370.8,1,275.0,5557.0,4.592,-0.3,0.774,0.866,294.65524,39.308361,15.725,1,confirmed
4476123,K00814.01,Kepler-689 b,CONFIRMED,22.36646466,0.4,5.228,986.8,2.32,536.0,19.45,32.1,1,48.0,5395.0,4.615,-0.34,0.734,0.821,294.71063,39.52174,15.583,1,confirmed
3351888,K00801.01,Kepler-685 b,CONFIRMED,1.625522174,0.076,2.38963,7969.0,9.73,1579.0,1467.41,799.7,1,657.0,5539.0,4.322,0.16,1.106,0.935,293.87192,38.422939,15.001,1,confirmed
3453214,K00802.01,,CANDIDATE,19.620346923,0.458,2.0038,21724.6,13.6,643.0,40.39,340.5,1,52.0,5710.0,4.492,-0.1,0.905,0.928,293.81619,38.563568,15.562,0,candidate
3641726,K00804.01,Kepler-1727 b,CONFIRMED,9.02930689,0.024,3.1449,1019.8,2.57,757.0,77.75,53.9,1,146.0,5349.0,4.526,-0.12,0.82,0.824,290.33362,38.72823,15.387,1,confirmed
3832474,K00806.01,Kepler-30 d,CONFIRMED,143.2063047,0.379,8.9302,10565.7,8.9,308.0,2.14,138.8,5,9.0,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,1,confirmed
8395660,K00116.03,Kepler-106 b,CONFIRMED,6.164876,0.646,3.262,55.8,0.79,1021.0,256.35,14.4,4,207.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,1,confirmed
3832474,K00806.02,Kepler-30 c,CONFIRMED,60.32494216,0.224,6.6188,20280.4,12.19,411.0,6.77,347.2,5,22.0,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,1,confirmed
3832474,K00806.03,Kepler-30 b,CONFIRMED,29.1598615,0.3619,4.803,488.0,1.91,524.0,17.85,11.6,5,,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403,1,confirmed
3935914,K00809.01,Kepler-686 b,CONFIRMED,1.594745374,0.514,1.9604,15044.5,11.3,1539.0,1329.42,1009.3,1,762.0,5934.0,4.491,-0.38,0.893,0.901,285.21381,39.027481,15.53,1,confirmed
3940418,K00810.01,Kepler-1728 b,CONFIRMED,4.783002698,0.003,2.335,1008.7,2.5,886.0,145.48,70.6,1,281.0,5170.0,4.574,0.18,0.807,0.891,287.09399,39.060719,15.119,1,confirmed
4049131,K00811.01,Kepler-687 b,CONFIRMED,20.50588921,0.26,4.0595,2105.5,3.41,518.0,17.06,78.5,1,69.0,4905.0,4.544,-0.04,0.761,0.739,289.31543,39.153278,15.398,1,confirmed
